"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
4001,50,50,50,"Aarau AG","Die Gemeinde Aarau hat die Biodiversitätsinitiative mit 50 Prozent Ja-Stimmen angenommen. Aarau hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4002,38.6,38.6,61.4,"Biberstein AG","61,4 Prozent der Stimmbürgerinnen und Stimmbürger von Biberstein haben Nein gesagt zur Biodiversitätsinitiative. Biberstein hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4003,36.5,36.5,63.5,"Buchs AG","Nein zur Biodiversitätsinitiative in Buchs AG. Die Gemeinde hat die Vorlage mit 63,5 Prozent abgelehnt. Buchs AG hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4004,24.5,24.5,75.5,"Densbüren AG","In Densbüren hat die Biodiversitätsinitiative keine Mehrheit gefunden. Auf 75,5 Prozent der abgegebenen Stimmzettel stand ein Nein. Densbüren hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4005,31.9,31.9,68.1,"Erlinsbach AG","Nein zur Biodiversitätsinitiative in Erlinsbach AG: Mit 1'027 Nein- zu 480 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 68,1 Prozent. Erlinsbach AG hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4006,29.4,29.4,70.6,"Gränichen AG","In Gränichen hat die Stimmbevölkerung die Biodiversitätsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 70,6 Prozent verworfen. Gränichen hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4007,26,26,74,"Hirschthal AG","In Hirschthal hat die Stimmbevölkerung die Biodiversitätsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 74 Prozent verworfen. Hirschthal hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4008,48.8,48.8,51.2,"Küttigen AG","Nein zur Biodiversitätsinitiative in Küttigen. Die Gemeinde hat die Vorlage mit 51,2 Prozent abgelehnt. Küttigen hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4009,22.4,22.4,77.6,"Muhen AG","In Muhen hat die Stimmbevölkerung die Biodiversitätsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 77,6 Prozent verworfen. Muhen hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4010,31.8,31.8,68.2,"Oberentfelden AG","Keine Mehrheit für die Biodiversitätsinitiative in Oberentfelden: Mit 1'251 Nein-Stimmen zu 582 Ja-Stimmen oder 68,2 Prozent hat die Gemeinde das Volksbegehren verworfen. Oberentfelden hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4012,42,42,58,"Suhr AG","Keine Mehrheit für die Biodiversitätsinitiative in Suhr: Mit 1'373 Nein-Stimmen zu 994 Ja-Stimmen oder 58 Prozent hat die Gemeinde das Volksbegehren verworfen. Suhr hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4013,35.9,35.9,64.1,"Unterentfelden AG","In Unterentfelden hat die Stimmbevölkerung die Biodiversitätsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 64,1 Prozent verworfen. Unterentfelden hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4021,47.6,47.6,52.4,"Baden AG","Keine Mehrheit für die Biodiversitätsinitiative in Baden: Mit 3'460 Nein-Stimmen zu 3'139 Ja-Stimmen oder 52,4 Prozent hat die Gemeinde das Volksbegehren verworfen. Baden hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4022,27.9,27.9,72.1,"Bellikon AG","Bellikon hat die Biodiversitätsinitiative mit 72,1 Prozent abgelehnt. Bellikon hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4023,27.5,27.5,72.5,"Bergdietikon AG","In Bergdietikon hat die Biodiversitätsinitiative keine Mehrheit gefunden. Auf 72,5 Prozent der abgegebenen Stimmzettel stand ein Nein. Bergdietikon hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4024,21.1,21.1,78.9,"Birmenstorf AG","Nein zur Biodiversitätsinitiative in Birmenstorf AG: Mit 697 Nein- zu 186 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 78,9 Prozent. Birmenstorf AG hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4026,48.3,48.3,51.7,"Ennetbaden AG","51,7 Prozent der Stimmbürgerinnen und Stimmbürger von Ennetbaden haben Nein gesagt zur Biodiversitätsinitiative. Ennetbaden hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4027,28.2,28.2,71.8,"Fislisbach AG","Nein zur Biodiversitätsinitiative in Fislisbach. Die Gemeinde hat die Vorlage mit 71,8 Prozent abgelehnt. Fislisbach hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4028,36,36,64,"Freienwil AG","64 Prozent der Stimmbürgerinnen und Stimmbürger von Freienwil haben Nein gesagt zur Biodiversitätsinitiative. Freienwil hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4029,34.2,34.2,65.8,"Gebenstorf AG","Nein zur Biodiversitätsinitiative in Gebenstorf. Die Gemeinde hat die Vorlage mit 65,8 Prozent abgelehnt. Gebenstorf hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4030,30.7,30.7,69.3,"Killwangen AG","Nein zur Biodiversitätsinitiative in Killwangen: Mit 336 Nein- zu 149 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 69,3 Prozent. Killwangen hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4031,23.8,23.8,76.2,"Künten AG","Nein zur Biodiversitätsinitiative in Künten: Mit 443 Nein- zu 138 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 76,2 Prozent. Künten hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4032,26,26,74,"Mägenwil AG","Mägenwil hat die Biodiversitätsinitiative mit 74 Prozent abgelehnt. Mägenwil hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4033,28.6,28.6,71.4,"Mellingen AG","Nein zur Biodiversitätsinitiative in Mellingen: Mit 908 Nein- zu 363 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 71,4 Prozent. Mellingen hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4034,29.4,29.4,70.6,"Neuenhof AG","Nein zur Biodiversitätsinitiative in Neuenhof: Mit 784 Nein- zu 327 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 70,6 Prozent. Neuenhof hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4035,30.6,30.6,69.4,"Niederrohrdorf AG","Niederrohrdorf hat die Biodiversitätsinitiative mit 69,4 Prozent abgelehnt. Niederrohrdorf hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4037,29.3,29.3,70.7,"Oberrohrdorf AG","In Oberrohrdorf hat die Stimmbevölkerung die Biodiversitätsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 70,7 Prozent verworfen. Oberrohrdorf hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4038,33.6,33.6,66.4,"Obersiggenthal AG","Nein zur Biodiversitätsinitiative in Obersiggenthal: Mit 1'542 Nein- zu 780 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 66,4 Prozent. Obersiggenthal hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4039,27.4,27.4,72.6,"Remetschwil AG","Keine Mehrheit für die Biodiversitätsinitiative in Remetschwil: Mit 497 Nein-Stimmen zu 188 Ja-Stimmen oder 72,6 Prozent hat die Gemeinde das Volksbegehren verworfen. Remetschwil hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4040,32.8,32.8,67.2,"Spreitenbach AG","Keine Mehrheit für die Biodiversitätsinitiative in Spreitenbach: Mit 866 Nein-Stimmen zu 422 Ja-Stimmen oder 67,2 Prozent hat die Gemeinde das Volksbegehren verworfen. Spreitenbach hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4041,28.6,28.6,71.4,"Stetten AG","Keine Mehrheit für die Biodiversitätsinitiative in Stetten AG: Mit 454 Nein-Stimmen zu 182 Ja-Stimmen oder 71,4 Prozent hat die Gemeinde das Volksbegehren verworfen. Stetten AG hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4044,37.8,37.8,62.2,"Untersiggenthal AG","Nein zur Biodiversitätsinitiative in Untersiggenthal: Mit 1'221 Nein- zu 742 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 62,2 Prozent. Untersiggenthal hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4045,41.6,41.6,58.4,"Wettingen AG","Nein zur Biodiversitätsinitiative in Wettingen. Die Gemeinde hat die Vorlage mit 58,4 Prozent abgelehnt. Wettingen hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4046,33.9,33.9,66.1,"Wohlenschwil AG","In Wohlenschwil hat die Stimmbevölkerung die Biodiversitätsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 66,1 Prozent verworfen. Wohlenschwil hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4047,27.2,27.2,72.8,"Würenlingen AG","Würenlingen hat die Biodiversitätsinitiative mit 72,8 Prozent abgelehnt. Würenlingen hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4048,29.9,29.9,70.1,"Würenlos AG","Keine Mehrheit für die Biodiversitätsinitiative in Würenlos: Mit 1'482 Nein-Stimmen zu 633 Ja-Stimmen oder 70,1 Prozent hat die Gemeinde das Volksbegehren verworfen. Würenlos hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4049,32,32,68,"Ehrendingen AG","Nein zur Biodiversitätsinitiative in Ehrendingen. Die Gemeinde hat die Vorlage mit 68 Prozent abgelehnt. Ehrendingen hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4061,34.8,34.8,65.2,"Arni AG","Keine Mehrheit für die Biodiversitätsinitiative in Arni AG: Mit 458 Nein-Stimmen zu 244 Ja-Stimmen oder 65,2 Prozent hat die Gemeinde das Volksbegehren verworfen. Arni AG hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4062,33.3,33.3,66.7,"Berikon AG","Nein zur Biodiversitätsinitiative in Berikon. Die Gemeinde hat die Vorlage mit 66,7 Prozent abgelehnt. Berikon hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4063,39.7,39.7,60.3,"Bremgarten AG","In Bremgarten AG hat die Stimmbevölkerung die Biodiversitätsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 60,3 Prozent verworfen. Bremgarten AG hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4064,26.1,26.1,73.9,"Büttikon AG","Büttikon hat die Biodiversitätsinitiative mit 73,9 Prozent abgelehnt. Büttikon hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4065,27.6,27.6,72.4,"Dottikon AG","Nein zur Biodiversitätsinitiative in Dottikon: Mit 540 Nein- zu 206 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 72,4 Prozent. Dottikon hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4066,31.7,31.7,68.3,"Eggenwil AG","Nein zur Biodiversitätsinitiative in Eggenwil: Mit 239 Nein- zu 111 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 68,3 Prozent. Eggenwil hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4067,17.3,17.3,82.7,"Fischbach-Göslikon AG","Nein zur Biodiversitätsinitiative in Fischbach-Göslikon. Die Gemeinde hat die Vorlage mit 82,7 Prozent abgelehnt. Fischbach-Göslikon hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4068,24.6,24.6,75.4,"Hägglingen AG","75,4 Prozent der Stimmbürgerinnen und Stimmbürger von Hägglingen haben Nein gesagt zur Biodiversitätsinitiative. Hägglingen hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4071,28.4,28.4,71.6,"Jonen AG","Nein zur Biodiversitätsinitiative in Jonen. Die Gemeinde hat die Vorlage mit 71,6 Prozent abgelehnt. Jonen hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4072,21.2,21.2,78.8,"Niederwil AG","Keine Mehrheit für die Biodiversitätsinitiative in Niederwil AG: Mit 696 Nein-Stimmen zu 187 Ja-Stimmen oder 78,8 Prozent hat die Gemeinde das Volksbegehren verworfen. Niederwil AG hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4073,31.3,31.3,68.7,"Oberlunkhofen AG","68,7 Prozent der Stimmbürgerinnen und Stimmbürger von Oberlunkhofen haben Nein gesagt zur Biodiversitätsinitiative. Oberlunkhofen hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4074,28.4,28.4,71.6,"Oberwil-Lieli AG","In Oberwil-Lieli hat die Biodiversitätsinitiative keine Mehrheit gefunden. Auf 71,6 Prozent der abgegebenen Stimmzettel stand ein Nein. Oberwil-Lieli hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4075,35.6,35.6,64.4,"Rudolfstetten-Friedlisberg AG","64,4 Prozent der Stimmbürgerinnen und Stimmbürger von Rudolfstetten-Friedlisberg haben Nein gesagt zur Biodiversitätsinitiative. Rudolfstetten-Friedlisberg hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4076,25.6,25.6,74.4,"Sarmenstorf AG","Nein zur Biodiversitätsinitiative in Sarmenstorf: Mit 717 Nein- zu 247 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 74,4 Prozent. Sarmenstorf hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4077,25.1,25.1,74.9,"Tägerig AG","Nein zur Biodiversitätsinitiative in Tägerig. Die Gemeinde hat die Vorlage mit 74,9 Prozent abgelehnt. Tägerig hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4078,18.6,18.6,81.4,"Uezwil AG","In Uezwil hat die Biodiversitätsinitiative keine Mehrheit gefunden. Auf 81,4 Prozent der abgegebenen Stimmzettel stand ein Nein. Uezwil hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4079,23.1,23.1,76.9,"Unterlunkhofen AG","Keine Mehrheit für die Biodiversitätsinitiative in Unterlunkhofen: Mit 432 Nein-Stimmen zu 130 Ja-Stimmen oder 76,9 Prozent hat die Gemeinde das Volksbegehren verworfen. Unterlunkhofen hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4080,24.6,24.6,75.4,"Villmergen AG","Keine Mehrheit für die Biodiversitätsinitiative in Villmergen: Mit 1'201 Nein-Stimmen zu 392 Ja-Stimmen oder 75,4 Prozent hat die Gemeinde das Volksbegehren verworfen. Villmergen hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4081,32.2,32.2,67.8,"Widen AG","67,8 Prozent der Stimmbürgerinnen und Stimmbürger von Widen haben Nein gesagt zur Biodiversitätsinitiative. Widen hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4082,32.3,32.3,67.7,"Wohlen AG","Nein zur Biodiversitätsinitiative in Wohlen AG. Die Gemeinde hat die Vorlage mit 67,7 Prozent abgelehnt. Wohlen AG hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4083,31.5,31.5,68.5,"Zufikon AG","In Zufikon hat die Stimmbevölkerung die Biodiversitätsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 68,5 Prozent verworfen. Zufikon hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4084,27.6,27.6,72.4,"Islisberg AG","72,4 Prozent der Stimmbürgerinnen und Stimmbürger von Islisberg haben Nein gesagt zur Biodiversitätsinitiative. Islisberg hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4091,33.1,33.1,66.9,"Auenstein AG","Nein zur Biodiversitätsinitiative in Auenstein. Die Gemeinde hat die Vorlage mit 66,9 Prozent abgelehnt. Auenstein hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4092,27.7,27.7,72.3,"Birr AG","72,3 Prozent der Stimmbürgerinnen und Stimmbürger von Birr haben Nein gesagt zur Biodiversitätsinitiative. Birr hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4093,30.9,30.9,69.1,"Birrhard AG","In Birrhard hat die Stimmbevölkerung die Biodiversitätsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 69,1 Prozent verworfen. Birrhard hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4095,41.4,41.4,58.6,"Brugg AG","In Brugg hat die Biodiversitätsinitiative keine Mehrheit gefunden. Auf 58,6 Prozent der abgegebenen Stimmzettel stand ein Nein. Brugg hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4099,25.6,25.6,74.4,"Habsburg AG","In Habsburg hat die Stimmbevölkerung die Biodiversitätsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 74,4 Prozent verworfen. Habsburg hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4100,27.2,27.2,72.8,"Hausen AG","Nein zur Biodiversitätsinitiative in Hausen AG. Die Gemeinde hat die Vorlage mit 72,8 Prozent abgelehnt. Hausen AG hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4104,30.5,30.5,69.5,"Lupfig AG","Keine Mehrheit für die Biodiversitätsinitiative in Lupfig: Mit 728 Nein-Stimmen zu 319 Ja-Stimmen oder 69,5 Prozent hat die Gemeinde das Volksbegehren verworfen. Lupfig hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4105,16.4,16.4,83.6,"Mandach AG","In Mandach hat die Biodiversitätsinitiative keine Mehrheit gefunden. Auf 83,6 Prozent der abgegebenen Stimmzettel stand ein Nein. Mandach hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
